SPX 8/7/2018,NAME,GICS_SECTOR_NAME
MTD UN Equity,METTLER-TOLEDO INTERNATIONAL,Health Care
CPRT UW Equity,COPART INC,Industrials
ALB UN Equity,ALBEMARLE CORP,Materials
ESS UN Equity,ESSEX PROPERTY TRUST INC,Real Estate
GGP UN Equity,GGP INC,Real Estate
O UN Equity,REALTY INCOME CORP,Real Estate
STX UW Equity,SEAGATE TECHNOLOGY,Information Technology
WRK UN Equity,WESTROCK CO,Materials
INFO UW Equity,IHS MARKIT LTD,Industrials
WDC UW Equity,WESTERN DIGITAL CORP,Information Technology
PEP UW Equity,PEPSICO INC,Consumer Staples
NKTR UW Equity,NEKTAR THERAPEUTICS,Health Care
CHD UN Equity,CHURCH & DWIGHT CO INC,Consumer Staples
DRE UN Equity,DUKE REALTY CORP,Real Estate
FRT UN Equity,FEDERAL REALTY INVS TRUST,Real Estate
MGM UN Equity,MGM RESORTS INTERNATIONAL,Consumer Discretionary
TFCF UW Equity,TFCF CORP - B,Communication Services
LNT UN Equity,ALLIANT ENERGY CORP,Utilities
JBHT UW Equity,HUNT (JB) TRANSPRT SVCS INC,Industrials
LRCX UW Equity,LAM RESEARCH CORP,Information Technology
MHK UN Equity,MOHAWK INDUSTRIES INC,Consumer Discretionary
PNR UN Equity,PENTAIR PLC,Industrials
VRTX UW Equity,VERTEX PHARMACEUTICALS INC,Health Care
FB UW Equity,FACEBOOK INC-CLASS A,Communication Services
URI UN Equity,UNITED RENTALS INC,Industrials
ARE UN Equity,ALEXANDRIA REAL ESTATE EQUIT,Real Estate
ABMD UW Equity,ABIOMED INC,Health Care
UAL UN Equity,UNITED AIRLINES HOLDINGS INC,Industrials
DAL UN Equity,DELTA AIR LINES INC,Industrials
NWS UW Equity,NEWS CORP - CLASS B,Communication Services
CNC UN Equity,CENTENE CORP,Health Care
REG UN Equity,REGENCY CENTERS CORP,Real Estate
MAC UN Equity,MACERICH CO/THE,Real Estate
MLM UN Equity,MARTIN MARIETTA MATERIALS,Materials
EVHC UN Equity,ENVISION HEALTHCARE CORP,Health Care
PYPL UW Equity,PAYPAL HOLDINGS INC,Information Technology
